Entity,Code,Year,Youth Male Literacy Rate,Youth Female Literacy Rate,Population (historical),Continent
Afghanistan,AFG,2021,71.24394,41.59372,40000411.0,Asia
Albania,ALB,2022,99.1,99.9,2827615.0,Europe
Algeria,DZA,2019,64.79,84.16,43294550.0,Africa
American Samoa,ASM,1980,97.88862,97.44365,32427.0,Oceania
Angola,AGO,2022,85.9,80.7,35635028.0,Africa
Anguilla,AIA,1994,99.12409,99.10314,9489.0,North America
Argentina,ARG,2001,98.7079,99.12767,37624818.0,South America
Armenia,ARM,2020,99.85206,99.89736,2890894.0,Asia
Aruba,ABW,2020,99.63,99.41,107411.0,North America
Azerbaijan,AZE,2023,99.87576,99.87597,10318210.0,Asia
Bahrain,BHR,2022,99.382,98.95499,1533459.0,Asia
Bangladesh,BGD,2021,93.76295,95.86286,167658855.0,Asia
Barbados,BRB,2012,100.0,100.0,276947.0,North America
Belarus,BLR,2019,99.84713,99.89983,9435414.0,Europe
Belize,BLZ,2001,86.2,88.3,248394.0,North America
Benin,BEN,2022,73.6,59.1,13759507.0,Africa
Bhutan,BTN,2022,98.0,98.0,780920.0,Asia
Bolivia,BOL,2021,99.5,99.54,11937369.0,South America
Bosnia and Herzegovina,BIH,2022,99.7,99.7,3204805.0,Europe
Botswana,BWA,2013,95.75475,99.13954,2140687.0,Africa
Brazil,BRA,2022,99.01,99.56,210306411.0,South America
Brunei,BRN,2021,99.71,99.83,451723.0,Asia
Bulgaria,BGR,2021,98.27,97.83,6877222.0,Europe
Burkina Faso,BFA,2022,55.56,51.68,22509037.0,Africa
Burundi,BDI,2022,93.97,93.16,13321101.0,Africa
Cambodia,KHM,2022,95.44,96.51,17201717.0,Asia
Cameroon,CMR,2020,88.63,83.83,26210566.0,Africa
Cape Verde,CPV,2022,98.25,99.25,519750.0,Africa
Cayman Islands,CYM,2017,99.14231,98.62333,64562.0,North America
Central African Republic,CAF,2020,47.55,29.11,5026629.0,Africa
Chad,TCD,2022,41.39,30.64,18455319.0,Africa
Chile,CHL,2022,99.14,99.48,19553032.0,South America
China,CHN,2020,99.75248,99.76287,1426106083.0,Asia
Colombia,COL,2022,98.64,99.2,51737944.0,South America
Comoros,COM,2022,80.95,83.1,834192.0,Africa
Congo,COG,2021,85.19,79.5,5892186.0,Africa
Costa Rica,CRI,2021,99.46,99.61,5059992.0,North America
Cote d'Ivoire,CIV,2019,92.82019,76.41314,28193014.0,Africa
Croatia,HRV,2021,99.75,99.78,3924607.0,Europe
Cuba,CUB,2021,99.85527,99.8952,11122169.0,North America
Cyprus,CYP,2021,99.89,99.91,1317312.0,Europe
Democratic Republic of Congo,COD,2022,90.79,85.41,102396974.0,Africa
Dominican Republic,DOM,2022,98.14,98.91,11230734.0,North America
East Timor,TLS,2020,83.7,86.6,1326051.0,Asia
Ecuador,ECU,2022,96.1,96.67,17823900.0,South America
Egypt,EGY,2022,92.72,91.74,112618251.0,Africa
El Salvador,SLV,2022,97.96,98.57,6280316.0,North America
Equatorial Guinea,GNQ,2010,97.69076,98.29817,1189096.0,Africa
Eritrea,ERI,2018,93.81868,92.71403,3192763.0,Africa
Estonia,EST,2021,99.98,99.99,1331750.0,Europe
Eswatini,SWZ,2020,94.76,97.08,1192733.0,Africa
Ethiopia,ETH,2017,73.52072,71.97251,109666482.0,Africa
Fiji,FJI,2021,96.11,99.119995,916717.0,Oceania
Gabon,GAB,2022,88.66,92.63,2430752.0,Africa
Gambia,GMB,2022,69.64,79.86,2636473.0,Africa
Georgia,GEO,2022,99.5052,99.89468,3794783.0,Asia
Ghana,GHA,2020,93.59,93.36,31887801.0,Africa
Greece,GRC,2009,99.51223,99.46973,11108069.0,Europe
Grenada,GRD,1980,98.9,99.4,94553.0,North America
Guadeloupe,GLP,1992,99.46,99.6,398166.0,North America
Guam,GUM,2000,99.96,99.93,160078.0,Oceania
Guatemala,GTM,2022,96.41,95.86,17847877.0,North America
Guinea,GIN,2021,71.33,49.09,13710516.0,Africa
Guinea-Bissau,GNB,2022,75.28,62.55,2105537.0,Africa
Guyana,GUY,2022,97.61,98.21,821636.0,South America
Haiti,HTI,2016,83.3535,82.63483,10671460.0,North America
Honduras,HND,2019,94.84,97.29,9943637.0,North America
Hungary,HUN,2021,98.5,98.9,9707848.0,Europe
India,IND,2022,97.4425,95.53811,1425423212.0,Asia
Indonesia,IDN,2020,99.77767,99.78145,274814864.0,Asia
Iran,IRN,2022,98.69,98.93,89524247.0,Asia
Iraq,IRQ,2017,94.9,92.1,39337357.0,Asia
Israel,ISR,1983,99.05457,98.04603,3959631.0,Asia
Italy,ITA,2019,99.82589,99.92654,60130136.0,Europe
Jamaica,JAM,1999,87.31139,96.29552,2589797.0,North America
Jordan,JOR,2021,99.27,99.56,11066358.0,Asia
Kazakhstan,KAZ,2020,100.0,99.9,19482117.0,Asia
Kenya,KEN,2022,88.23,89.78,54252456.0,Africa
Kuwait,KWT,2020,99.1044,99.57578,4400146.0,Asia
Kyrgyzstan,KGZ,2019,99.7,99.8,6494036.0,Asia
Laos,LAO,2022,95.44,93.54,7559007.0,Asia
Latvia,LVA,2021,99.77,99.86,1885592.0,Europe
Lebanon,LBN,2018,97.9,95.6,5984120.0,Asia
Lesotho,LSO,2022,83.81,95.59,2286112.0,Africa
Liberia,LBR,2019,86.229996,71.85,5043720.0,Africa
Libya,LBY,1994,99.42,96.3,4822039.0,Africa
Lithuania,LTU,2021,99.94,99.95,2794489.0,Europe
Macao,MAC,2021,99.62,99.96,694404.0,Asia
Madagascar,MDG,2022,80.81,80.66,30437263.0,Africa
Malawi,MWI,2022,73.66,79.83,20568731.0,Africa
Malaysia,MYS,1991,95.90644,95.22214,18342474.0,Asia
Maldives,MDV,2021,99.51,99.32,516162.0,Asia
Mali,MLI,2020,55.22719,38.45202,21713839.0,Africa
Malta,MLT,2021,99.29,99.63,524383.0,Europe
Marshall Islands,MHL,2011,98.16972,98.7567,51927.0,Oceania
Mauritania,MRT,2021,77.92,75.03,4734875.0,Africa
Mauritius,MUS,2021,99.04,99.58,1279627.0,Africa
Mexico,MEX,2022,98.74,99.17,128613113.0,North America
Moldova,MDA,2021,99.7,99.7,3023780.0,Europe
Mongolia,MNG,2020,98.92643,99.22561,3290788.0,Asia
Montenegro,MNE,2021,99.17,98.91,603854.0,Europe
Morocco,MAR,2022,98.62,98.41,37329069.0,Africa
Mozambique,MOZ,2020,76.4583,64.51158,30783685.0,Africa
Myanmar,MMR,2019,95.27067,95.5529,52640718.0,Asia
Namibia,NAM,2021,94.46,96.62,2810553.0,Africa
Nepal,NPL,2021,95.14,93.25,29475018.0,Asia
Nicaragua,NIC,2015,89.64283,93.60194,6149418.0,North America
Niger,NER,2022,55.8,40.36,25311977.0,Africa
Nigeria,NGA,2018,81.58064,68.26263,204938753.0,Africa
North Korea,PRK,2018,99.99944,99.99979,25931155.0,Asia
North Macedonia,MKD,2012,98.8,98.5,2027288.0,Europe
Oman,OMN,2022,99.64752,99.67872,4730227.0,Asia
Pakistan,PAK,2019,79.72925,65.18558,230800909.0,Asia
Palau,PLW,2015,98.24561,99.17051,17791.0,Oceania
Palestine,PSE,2022,99.38786,99.33342,5305274.0,Asia
Panama,PAN,2022,99.38,99.3,4400772.0,North America
Papua New Guinea,PNG,2010,64.57,71.4,7633523.0,Oceania
Paraguay,PRY,2022,98.88,99.28,6760461.0,South America
Peru,PER,2022,99.31,99.29,33475435.0,South America
Philippines,PHL,2020,99.10749,99.32923,112081271.0,Asia
Poland,POL,2021,99.8,99.9,38040304.0,Europe
Portugal,PRT,2021,99.68,99.75,10390956.0,Europe
Puerto Rico,PRI,2021,92.4,92.4,3253210.0,North America
Qatar,QAT,2014,98.38078,99.64683,2218377.0,Asia
Romania,ROU,2021,99.94117,99.93696,19248159.0,Europe
Russia,RUS,2021,99.90972,99.92729,145836172.0,Europe
Rwanda,RWA,2022,87.50705,92.37252,13651026.0,Africa
Saint Helena,SHN,1998,98.59155,100.0,6184.0,Africa
Saint Lucia,LCA,2012,100.0,99.96,172595.0,North America
Saint Vincent and the Grenadines,VCT,1980,98.5,98.8,104227.0,North America
Samoa,WSM,2021,98.8,99.4,213792.0,Oceania
San Marino,SMR,2022,100.0,100.0,34113.0,Europe
Sao Tome and Principe,STP,2022,97.97,98.38,226313.0,Africa
Saudi Arabia,SAU,2020,99.54517,99.44731,30991205.0,Asia
Senegal,SEN,2022,81.01,75.22,17651099.0,Africa
Serbia,SRB,2019,99.99946,99.99942,6966154.0,Europe
Seychelles,SYC,2020,98.5,99.6,120299.0,Africa
Sierra Leone,SLE,2022,75.23,71.65,8276808.0,Africa
Singapore,SGP,2021,99.87398,99.91004,5546292.0,Asia
Slovenia,SVN,2001,99.8,99.9,1989685.0,Europe
Somalia,SOM,2022,76.3,64.65,17801893.0,Africa
South Africa,ZAF,2021,95.91303,97.47523,61502601.0,Africa
South Korea,KOR,2018,99.9,100.0,51640894.0,Asia
South Sudan,SSD,2018,48.42514,47.3692,10122983.0,Africa
Spain,ESP,2020,99.49479,99.75504,47679482.0,Europe
Sri Lanka,LKA,2022,98.28003,99.32073,22834964.0,Asia
Sudan,SDN,2018,72.51,73.49,44230598.0,Africa
Suriname,SUR,2021,99.1,98.7,617905.0,South America
Syria,SYR,2021,98.3455,98.43844,21628840.0,Asia
Tajikistan,TJK,2017,100.0,97.74,9085943.0,Asia
Tanzania,TZA,2022,87.65,89.16,64711821.0,Africa
Thailand,THA,2021,98.4,99.1,71727340.0,Asia
Togo,TGO,2019,92.08284,84.00565,8463068.0,Africa
Tonga,TON,2021,99.3,99.5,105504.0,Oceania
Trinidad and Tobago,TTO,2000,99.44,99.4,1319781.0,North America
Tunisia,TUN,2019,97.14935,96.50041,11875085.0,Africa
Turkey,TUR,2019,99.96417,99.84731,85357671.0,Asia
Uganda,UGA,2022,90.64,93.02,47312718.0,Africa
Ukraine,UKR,2021,99.8,100.
